stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.47793389999424,None,0.008542049850802869,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,18.262316499982262,None,4,1.0703311999968719,18.16210499999579,None,18.16210499999579,None,0.6847222222222222,-0.56,1,0,0,next_button,0.013298349978867918,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,19.530048699991312,None,None,None,19.429803699982585,None,19.429803699982585,None,0.5416666666666666,-0.5866666666666667,1,0,0,next_button,0.0057810600264929235,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,19.89703140000347,None,4,0.769685200008098,19.813800400006585,None,19.813800400006585,None,0.6708333333333333,-0.5955555555555555,1,0,0,next_button,0.013545340014388785,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,21.214850099990144,None,4,0.3353292999963742,20.98134209998534,None,20.98134209998534,None,0.6694444444444444,-0.5933333333333334,1,0,0,next_button,0.012655780010391027,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,21.698732099990593,None,4,0.5131300000066403,21.548402199987322,None,21.548402199987322,None,0.7236111111111111,-0.6244444444444445,1,0,0,next_button,0.006518960028188303,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,22.616221100004623,None,4,0.3212292999960482,22.499534900009166,None,22.499534900009166,None,0.6583333333333333,-0.5844444444444444,1,0,0,next_button,0.015747489960631356,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,23.183454699988943,None,4,0.5608777000161353,23.033410999982152,None,23.033410999982152,None,0.625,-0.5977777777777777,1,0,0,next_button,0.005217660014750436,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,23.96753870000248,None,4,0.408853699977044,23.867599999997765,None,23.867599999997765,None,0.6888888888888889,-0.62,1,0,0,next_button,0.003111359983449802,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,24.618321499990998,None,4,0.5622526000079233,24.53492710000137,None,24.53492710000137,None,0.5944444444444444,-0.5777777777777777,1,0,0,next_button,0.0056303600140381604,None,001,,,,,2022-11-21_13h28.21.010,blockedTrials,2022.1.3,59.97825188435197,
