stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.52064820000669,None,0.0020196698023937643,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,21.321346799988532,None,None,None,21.238052700005937,None,21.238052700005937,None,0.6805555555555556,-0.5511111111111111,1,0,0,next_button,0.003816079959506169,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,None,None,None,None,22.0556496999925,None,22.0556496999925,None,0.6805555555555556,-0.5511111111111111,1,0,0,next_button,0.01110055999015458,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,None,None,None,None,22.172446999989916,None,22.172446999989916,None,0.6805555555555556,-0.5511111111111111,1,0,0,next_button,0.009489019983448088,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,22.505649169991376,None,None,None,22.422461500013014,None,22.422461500013014,None,0.6805555555555556,-0.5488888888888889,1,0,0,next_button,0.009960839990526438,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,22.572717300005024,None,None,None,22.572717300005024,None,22.572717300005024,None,0.6805555555555556,-0.5488888888888889,1,0,0,next_button,0.005100480018882081,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,23.07296079999651,None,None,None,22.823064500000328,None,22.823064500000328,None,0.6805555555555556,-0.5911111111111111,1,0,0,next_button,0.005441739980597049,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,23.340006870010985,None,None,None,23.256726199993864,None,23.256726199993864,None,0.6805555555555556,-0.5911111111111111,1,0,0,next_button,0.00373008000315167,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,23.590398500004085,None,None,None,23.44015720000607,None,23.44015720000607,None,0.6805555555555556,-0.5911111111111111,1,0,0,next_button,0.012214220012538135,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,23.77388210000936,None,None,None,23.69044939999003,None,23.69044939999003,None,0.6805555555555556,-0.5911111111111111,1,0,0,next_button,0.008704750012839213,None,001,,,,,2022-11-20_19h58.46.522,blockedTrials,2022.1.3,59.84497757751767,
