stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.41959449998103,None,0.015518359752604738,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,18.170594700000947,None,4,0.7265970000007655,18.086880699993344,None,18.086880699993344,None,0.5944444444444444,-0.6111111111111112,1,0,0,next_button,0.0033707800321280956,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,19.12122490000911,None,4,0.39686609999625944,19.037844200007385,None,19.037844200007385,None,0.5916666666666667,-0.5933333333333334,1,0,0,next_button,0.006849880010122433,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,19.73847539999406,None,4,0.4938548000063747,19.67183279999881,None,19.67183279999881,None,0.6236111111111111,-0.5711111111111111,1,0,0,next_button,0.0010745799809228629,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,20.75598909999826,None,4,0.34040109999477863,20.522770899988245,None,20.522770899988245,None,0.6847222222222222,-0.6222222222222222,1,0,0,next_button,0.0036445499572437257,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,21.25658449999173,None,4,0.42841439999756403,21.106445399986114,None,21.106445399986114,None,0.6319444444444444,-0.5844444444444444,1,0,0,next_button,0.0063613800157327205,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,22.040747799997916,None,None,None,21.907153499982087,None,21.907153499982087,None,0.6375,-0.5866666666666667,1,0,0,next_button,0.003201539977453649,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,22.441190799989272,None,None,None,22.29084239999065,None,22.29084239999065,None,0.6375,-0.5844444444444444,1,0,0,next_button,0.004361180006526411,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,None,None,None,None,22.524405999982264,None,22.524405999982264,None,0.6375,-0.5844444444444444,1,0,0,next_button,0.0022240800026338547,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,22.72460560000036,None,None,None,22.658020300004864,None,22.658020300004864,None,0.6375,-0.5822222222222222,1,0,0,next_button,0.012511149980127811,None,001,,,,,2022-11-21_17h21.23.166,blockedTrials,2022.1.3,59.94406020274841,
