stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,16.985203999996884,None,0.0029266597412060946,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,17.51898190000793,None,4,1.026406599994516,17.4354394999973,None,17.4354394999973,None,0.6597222222222222,-0.6,1,0,0,next_button,0.002732459979597479,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,18.770190500013996,None,4,0.404406999994535,18.703417100012302,None,18.703417100012302,None,0.6680555555555555,-0.6066666666666667,1,0,0,next_button,0.015480000001844019,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,19.38729169999715,None,4,0.41341800001100637,19.303991199994925,None,19.303991199994925,None,0.7,-0.6444444444444445,1,0,0,next_button,0.006675560027360916,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,20.27146950000315,None,4,0.5707786999992095,20.038024400011636,None,20.038024400011636,None,0.6097222222222223,-0.6022222222222222,1,0,0,next_button,0.014604639960452914,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,20.922129400016274,None,4,0.3644423999940045,20.772019700001692,None,20.772019700001692,None,0.6666666666666666,-0.6466666666666666,1,0,0,next_button,0.006566360010765493,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,21.63968359999126,None,4,0.5869439999805763,21.522620200004894,None,21.522620200004894,None,0.5972222222222222,-0.5977777777777777,1,0,0,next_button,0.013275879988214001,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,22.523580100008985,None,None,None,22.37355740001658,None,22.37355740001658,None,0.6305555555555555,-0.6133333333333333,1,0,0,next_button,0.016049799975007772,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,22.790724699996645,None,None,None,22.707079100015108,None,22.707079100015108,None,0.6305555555555555,-0.6111111111111112,1,0,0,next_button,0.0028432600083760917,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,23.02433149999706,None,None,None,22.957569699996384,None,22.957569699996384,None,0.6305555555555555,-0.6088888888888889,1,0,0,next_button,0.009717139997519553,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0010.jpg,1,1,1,0,9,9,9,,,,,23.224462639997363,None,None,None,23.174472799990326,None,23.174472799990326,None,0.6291666666666667,-0.6088888888888889,1,0,0,next_button,0.008992279996164143,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0011.jpg,2,2,1,0,10,10,10,,,,,23.374402000015834,None,None,None,23.30786210001679,None,23.30786210001679,None,0.6291666666666667,-0.6088888888888889,1,0,0,next_button,0.006209459999809042,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0012.jpg,3,1,1,0,11,11,11,,,,,23.541127700009383,None,None,None,23.474587300006533,None,23.474587300006533,None,0.6291666666666667,-0.6088888888888889,1,0,0,next_button,0.013414300017757341,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0013.jpg,2,1,2,0,12,12,12,,,,,23.691309399990132,None,None,None,23.6245612000057,None,23.6245612000057,None,0.6291666666666667,-0.6066666666666667,1,0,0,next_button,0.007983360002981499,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0014.jpg,2,1,2,0,13,13,13,,,,,23.875042100000428,None,None,None,23.808183499990264,None,23.808183499990264,None,0.6291666666666667,-0.6044444444444445,1,0,0,next_button,0.007942859985632822,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0015.jpg,3,2,2,0,14,14,14,,,,,24.058379140004398,None,None,None,23.97495460000937,None,23.97495460000937,None,0.6291666666666667,-0.6044444444444445,1,0,0,next_button,0.00647925998782739,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0016.jpg,4,1,2,0,15,15,15,,,,,24.12515710000298,None,None,None,24.12515710000298,None,24.12515710000298,None,0.6291666666666667,-0.6044444444444445,1,0,0,next_button,0.0053844599751755595,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0017.jpg,2,1,2,0,16,16,16,,,,,24.342003640011534,None,None,None,24.258617899991805,None,24.258617899991805,None,0.6291666666666667,-0.6044444444444445,1,0,0,next_button,0.007102860021404922,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0018.jpg,2,2,2,0,17,17,17,,,,,24.408682700013742,None,None,None,24.408682700013742,None,24.408682700013742,None,0.6291666666666667,-0.6044444444444445,1,0,0,next_button,0.0027239600312896073,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
stims\IMG_0019.jpg,4,2,2,0,18,18,18,,,,,24.575479999999516,None,None,None,24.508829600003082,None,24.508829600003082,None,0.6291666666666667,-0.6044444444444445,1,0,0,next_button,0.008388459973502904,None,001,,,,,2022-11-21_17h31.20.666,blockedTrials,2022.1.3,59.981309824688644,
