stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.359778899990488,None,0.009518819948425516,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,17.877246199990623,None,4,0.7112574999919161,17.793803800013848,None,17.793803800013848,None,0.5958333333333333,-0.6022222222222222,1,0,0,next_button,0.00510948000010103,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,18.861670899990713,None,4,0.595204899989767,18.76146430001245,None,18.76146430001245,None,0.5763888888888888,-0.6022222222222222,1,0,0,next_button,0.005944980017375201,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,19.72885149999638,None,4,0.4311198999930639,19.661988000007113,None,19.661988000007113,None,0.6,-0.5955555555555555,1,0,0,next_button,0.008265479991678149,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,20.696325400000205,None,4,0.30225249999784864,20.462839000014355,None,20.462839000014355,None,0.6402777777777777,-0.5977777777777777,1,0,0,next_button,0.010897020023548976,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,21.230043899995508,None,4,0.4815588000055868,21.113581700017676,None,21.113581700017676,None,0.6111111111111112,-0.5977777777777777,1,0,0,next_button,0.008833579981001094,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,22.047621900012018,None,4,0.33362349998787977,21.930939600017155,None,21.930939600017155,None,0.6041666666666666,-0.6,1,0,0,next_button,0.009914119960740209,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,22.614780200005043,None,4,0.5634231000149157,22.464659799996298,None,22.464659799996298,None,0.6222222222222222,-0.6022222222222222,1,0,0,next_button,0.006943180022062734,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,23.29879259999143,None,None,None,23.232070700003533,None,23.232070700003533,None,0.6069444444444444,-0.6088888888888889,1,0,0,next_button,0.009090180014027283,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,None,None,None,None,23.632371799991233,None,23.632371799991233,None,0.6069444444444444,-0.6088888888888889,1,0,0,next_button,0.006575379957212135,None,001,,,,,2022-11-21_17h37.38.608,blockedTrials,2022.1.3,59.8475204828096,
