stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.523285300005227,None,0.011773640027968213,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,20.758843799994793,None,4,0.9967946000106167,20.67531500000041,None,20.67531500000041,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.00732209999114275,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,22.008821600000374,None,None,None,21.942287899990333,None,21.942287899990333,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.0128971999802161,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,22.225561300001573,None,None,None,22.158880000002682,None,22.158880000002682,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.012449200032278895,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,22.64262699999381,None,None,None,22.42576929999632,None,22.42576929999632,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.00978212000336498,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,None,None,None,None,22.742936499998905,None,22.742936499998905,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.006401580030797049,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,23.05979960001423,None,None,None,22.97628960001748,None,22.97628960001748,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.011716620007064193,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,None,None,None,None,23.14312510000309,None,23.14312510000309,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.006577380030648783,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,23.393337799992878,None,None,None,23.259942200005753,None,23.259942200005753,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.008862779999617487,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,23.576857700012624,None,None,None,23.493519900017418,None,23.493519900017418,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.007725779985776171,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0010.jpg,1,1,1,0,9,9,9,,,,,23.760656400001608,None,None,None,23.660439500003122,None,23.660439500003122,None,0.6375,-0.6133333333333333,1,0,0,next_button,0.00832898003864102,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0011.jpg,2,2,1,0,10,10,10,,,,,24.04426270001568,None,4,1.1884271000162698,23.94412860000739,None,23.94412860000739,None,0.5888888888888889,-0.6044444444444445,1,0,0,next_button,0.015328359993873164,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0012.jpg,3,1,1,0,11,11,11,,,,,25.395229699992342,None,4,0.4783977000042796,25.311800099996617,None,25.311800099996617,None,0.6305555555555555,-0.6377777777777778,1,0,0,next_button,0.004060880019096658,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0013.jpg,2,1,2,0,12,12,12,,,,,26.046027300006244,None,None,None,25.97928649999085,None,25.97928649999085,None,0.6319444444444444,-0.6355555555555555,1,0,0,next_button,0.009323100006440654,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0014.jpg,2,1,2,0,13,13,13,,,,,26.412958020006773,None,None,None,26.34620279999217,None,26.34620279999217,None,0.6319444444444444,-0.6333333333333333,1,0,0,next_button,0.001994580030441284,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0015.jpg,3,2,2,0,14,14,14,,,,,26.546374900004594,None,None,None,26.47962379999808,None,26.47962379999808,None,0.6319444444444444,-0.6333333333333333,1,0,0,next_button,0.009180480032227933,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0016.jpg,4,1,2,0,15,15,15,,,,,26.7298371999932,None,None,None,26.646449099993333,None,26.646449099993333,None,0.6319444444444444,-0.6333333333333333,1,0,0,next_button,0.005395579995820299,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0017.jpg,2,1,2,0,16,16,16,,,,,26.896882320009173,None,None,None,26.830305100011174,None,26.830305100011174,None,0.6319444444444444,-0.6311111111111111,1,0,0,next_button,0.0007121800153981894,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0018.jpg,2,2,2,0,17,17,17,,,,,27.046932720008773,None,None,None,26.963392100005876,None,26.963392100005876,None,0.6319444444444444,-0.6311111111111111,1,0,0,next_button,0.007250280032167211,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0019.jpg,4,2,2,0,18,18,18,,,,,27.180269500007853,None,None,None,27.113570299989078,None,27.113570299989078,None,0.6319444444444444,-0.6311111111111111,1,0,0,next_button,0.008477480005240068,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0020.jpg,3,1,2,0,19,19,19,,,,,27.38045399999828,None,None,None,27.313818900001934,None,27.313818900001934,None,0.6319444444444444,-0.6288888888888889,1,0,0,next_button,0.013438399997539818,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0021.jpg,4,2,2,0,20,20,20,,,,,27.563991600007284,None,None,None,27.48061850000522,None,27.48061850000522,None,0.6319444444444444,-0.6288888888888889,1,0,0,next_button,0.0010610799945425242,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0022.jpg,3,2,2,0,21,21,21,,,,,27.730869499995606,None,None,None,27.64740200000233,None,27.64740200000233,None,0.6319444444444444,-0.6266666666666667,1,0,0,next_button,0.006337080034427345,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0023.jpg,1,2,2,0,22,22,22,,,,,28.014524800004438,None,None,None,27.931113300001016,None,27.931113300001016,None,0.6319444444444444,-0.6266666666666667,1,0,0,next_button,0.0027243800286669284,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
stims\IMG_0024.jpg,1,2,2,0,23,23,23,,,,,28.33135140000377,None,None,None,28.24817490001442,None,28.24817490001442,None,0.6319444444444444,-0.6244444444444445,1,0,0,next_button,0.004685980005888268,None,001,,,,,2022-11-21_18h00.07.860,blockedTrials,2022.1.3,59.86099080095665,
