stimFile,correctAnswer,intensity,stimuliGender,EmotionTests.thisRepN,EmotionTests.thisTrialN,EmotionTests.thisN,EmotionTests.thisIndex,Instructions.started,Instructions.stopped,mouse.started,mouse.stopped,image.started,image.stopped,slider.response,slider.rt,slider.started,slider.stopped,next_button.started,next_button.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,session,participant,age,gender,ethnicity,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.74544779997086,None,0.01466402068035677,None,,,,,,,,,,,,,,,,,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0001.jpg,1,2,1,0,0,0,0,,,,,19.29767639999045,None,4,0.9253919999464415,19.214662399957888,None,19.214662399957888,None,0.6097222222222223,-0.6266666666666667,1,0,0,next_button,0.003548160078935325,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0002.jpg,4,1,1,0,1,1,1,,,,,20.66495219996432,None,4,0.5275505000026897,20.581542500003707,None,20.581542500003707,None,0.5805555555555556,-0.5977777777777777,1,0,0,next_button,0.005127260053995997,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0003.jpg,3,2,1,0,2,2,2,,,,,21.41560099995695,None,4,0.4315830999985337,21.34894759999588,None,21.34894759999588,None,0.6111111111111112,-0.6266666666666667,1,0,0,next_button,0.008595259976573288,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0004.jpg,1,1,1,0,3,3,3,,,,,22.383167399966624,None,4,0.3408077999483794,22.13318939995952,None,22.13318939995952,None,0.5791666666666667,-0.6,1,0,0,next_button,0.001081500027794391,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0005.jpg,3,1,1,0,4,4,4,,,,,22.88374489999842,None,3,0.5128419999964535,22.733508399978746,None,22.733508399978746,None,0.6486111111111111,-0.6311111111111111,1,0,0,next_button,0.006139660079497844,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0006.jpg,2,2,1,0,5,5,5,,,,,23.80117920000339,None,3,0.3793422000017017,23.667872499965597,None,23.667872499965597,None,0.6069444444444444,-0.6133333333333333,1,0,0,next_button,0.007122689974494278,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0007.jpg,1,1,1,0,6,6,6,,,,,24.485261900001206,None,3,0.41754529997706413,24.352124799974263,None,24.352124799974263,None,0.6375,-0.6466666666666666,1,0,0,next_button,0.01151455007493496,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0008.jpg,4,1,1,0,7,7,7,,,,,25.15253679995658,None,3,0.5831335000111721,25.08598079998046,None,25.08598079998046,None,0.6819444444444445,-0.6311111111111111,1,0,0,next_button,0.009919360047206283,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
stims\IMG_0009.jpg,4,2,1,0,8,8,8,,,,,26.0534468999831,None,None,None,25.986714500002563,None,25.986714500002563,None,0.6694444444444444,-0.6155555555555555,1,0,0,next_button,0.007891260029282421,None,001,,,,,2022-11-22_10h43.13.782,blockedTrials,2022.1.3,59.89246906499042,
